,product_title,product_url,img_url,product_price,average_rating,reviews_count,width,height,legth,breadcrumbs_category_main,breadcrumbs_category_sub
733,IDANÄS / BERGMUND Table and 1 chair - dark brown/Kolboda beige/dark gray,https://www.ikea.com/us/en/p/idanaes-bergmund-table-and-1-chair-dark-brown-kolboda-beige-dark-gray-s99477041/,https://www.ikea.com/us/en/images/products/idanaes-bergmund-table-and-1-chair-dark-brown-kolboda-beige-dark-gray__0926745_pe789494_s5.jpg,234.0,0.0,0.0,21.5,3.5,42.5,Tables & desks,Dining sets
734,"TROTTEN Cabinet combination - anthracite 94 1/2x70 7/8 """,https://www.ikea.com/us/en/p/trotten-cabinet-combination-anthracite-s49442073/,https://www.ikea.com/us/en/images/products/trotten-cabinet-combination-anthracite__1038436_pe839675_s5.jpg,517.0,0.0,0.0,22.0,4.75,40.5,Tables & desks,Desks & computer desks
735,"EILIF Screen, freestanding - gray/black 31 1/2x59 """,https://www.ikea.com/us/en/p/eilif-screen-freestanding-gray-black-s59387472/,https://www.ikea.com/us/en/images/products/eilif-screen-freestanding-gray-black__0913517_pe783633_s5.jpg,150.0,5.0,1.0,31.5,2.0,59.0,Tables & desks,Desks & computer desks
736,"IDÅSEN Underframe for table top - dark gray 57 1/2x26 3/8x29 7/8 """,https://www.ikea.com/us/en/p/idasen-underframe-for-table-top-dark-gray-80397916/,https://www.ikea.com/us/en/images/products/idasen-underframe-for-table-top-dark-gray__0735417_pe739951_s5.jpg,149.0,5.0,3.0,26.25,5.75,32.0,Tables & desks,Desks & computer desks
737,"LERHAMN Table - black-brown 46 1/2x29 1/8 """,https://www.ikea.com/us/en/p/lerhamn-table-black-brown-60444301/,https://www.ikea.com/us/en/images/products/lerhamn-table-black-brown__0238237_pe377692_s5.jpg,99.0,4.6,32.0,15.0,2.0,43.75,Tables & desks,Dining tables
738,"EKEDALEN / EKEDALEN Table and 4 chairs - white/Orrsta light gray 47 1/4/70 7/8 """,https://www.ikea.com/us/en/p/ekedalen-ekedalen-table-and-4-chairs-white-orrsta-light-gray-s59296858/,https://www.ikea.com/us/en/images/products/ekedalen-odger-table-and-4-chairs-brown-white-beige__0737722_pe741235_s5.jpg,469.0,4.8,27.0,33.75,1.75,50.75,Tables & desks,Dining sets
739,"INGATORP Extendable table - white 61/84 5/8x34 1/4 """,https://www.ikea.com/us/en/p/ingatorp-extendable-table-white-70221423/,https://www.ikea.com/us/en/images/products/ingatorp-extendable-table-black__0737090_pe740880_s5.jpg,329.0,4.4,50.0,36.75,5.0,62.75,Tables & desks,Dining tables
740,"TROTTEN Cabinet with doors - anthracite 27 1/2x68 1/8 """,https://www.ikea.com/us/en/p/trotten-cabinet-with-doors-anthracite-40474836/,https://www.ikea.com/us/en/images/products/trotten-cabinet-with-doors-anthracite__1007248_pe825999_s5.jpg,169.0,0.0,0.0,14.25,7.75,29.75,Tables & desks,Desks & computer desks
741,"BEKANT Storage unit with smart lock - mesh white 16 1/8x39 3/4 """,https://www.ikea.com/us/en/p/bekant-storage-unit-with-smart-lock-mesh-white-s19286899/,https://www.ikea.com/us/en/images/products/bekant-storage-unit-with-smart-lock-mesh-black__0644248_pe702503_s5.jpg,229.0,0.0,0.0,25.75,4.25,37.5,Tables & desks,Desks & computer desks
742,"LANEBERG / EKEDALEN Table and 4 chairs - brown/black light gray 51 1/8/74 3/4x31 1/2 """,https://www.ikea.com/us/en/p/laneberg-ekedalen-table-and-4-chairs-brown-black-light-gray-s39304779/,https://www.ikea.com/us/en/images/products/laneberg-ekedalen-table-and-4-chairs-brown-black-light-gray__0747786_pe744725_s5.jpg,389.0,4.6,9.0,32.25,2.25,52.75,Tables & desks,Dining sets
743,ADILS Leg - black,https://www.ikea.com/us/en/p/adils-leg-black-70217973/,https://www.ikea.com/us/en/images/products/adils-leg-black__0734618_pe739551_s5.jpg,4.0,4.7,136.0,4.25,2.25,27.75,Tables & desks,Desks & computer desks
744,"EILIF Support for screen - white 16x12 """,https://www.ikea.com/us/en/p/eilif-support-for-screen-white-00468795/,https://www.ikea.com/us/en/images/products/eilif-support-for-screen-black__0796724_pe766534_s5.jpg,30.0,0.0,0.0,14.25,1.5,21.75,Tables & desks,Desks & computer desks
745,"BEKANT Desk sit/stand - black stained ash veneer/black 63x31 1/2 """,https://www.ikea.com/us/en/p/bekant-desk-sit-stand-black-stained-ash-veneer-black-s59281814/,https://www.ikea.com/us/en/images/products/bekant-desk-sit-stand-black-stained-ash-veneer-black__0734928_pe739646_s5.jpg,479.0,3.3,92.0,33.0,0.75,65.75,Tables & desks,Desks & computer desks
746,"IDÅSEN Table - black/dark gray 55 1/8x27 1/2x41 3/8 """,https://www.ikea.com/us/en/p/idasen-table-black-dark-gray-s89395885/,https://www.ikea.com/us/en/images/products/idasen-table-black-dark-gray__0932305_pe791406_s5.jpg,249.0,5.0,1.0,29.5,1.0,57.5,Tables & desks,BEKANT conference & meeting tables
747,"NORDVIKEN / BERGMUND Table and 4 chairs - white/Inseros white 59 7/8/87 3/4 """,https://www.ikea.com/us/en/p/nordviken-bergmund-table-and-4-chairs-white-inseros-white-s19477078/,https://www.ikea.com/us/en/images/products/nordviken-bergmund-table-and-4-chairs-black-ryrane-dark-blue__0954355_pe803226_s5.jpg,729.0,5.0,2.0,22.0,3.75,62.25,Tables & desks,Dining sets
748,"IDÅSEN Tabletop - black 55 1/8x27 1/2 """,https://www.ikea.com/us/en/p/idasen-tabletop-black-50483816/,https://www.ikea.com/us/en/images/products/idasen-tabletop-black__0955872_pe804179_s5.jpg,119.0,5.0,1.0,29.5,1.0,57.5,Tables & desks,Desks & computer desks
749,"BEKANT Desk with screen - white/gray 63x31 1/2 18 7/8 """,https://www.ikea.com/us/en/p/bekant-desk-with-screen-white-gray-s29387379/,https://www.ikea.com/us/en/images/products/bekant-desk-with-screen-white-gray__0937943_pe793889_s5.jpg,349.0,0.0,0.0,33.0,0.75,66.25,Tables & desks,Desks & computer desks
750,"LAGKAPTEN / TILLSLAG Desk - black-brown/white 55 1/8x23 5/8 """,https://www.ikea.com/us/en/p/lagkapten-tillslag-desk-black-brown-white-s39417521/,https://www.ikea.com/us/en/images/products/lagkapten-tillslag-desk-black-brown-white__0976139_pe813029_s5.jpg,69.99,5.0,1.0,24.0,1.5,55.5,Tables & desks,Desks & computer desks
751,"TINGBY Side table on casters - red 19 5/8x19 5/8 """,https://www.ikea.com/us/en/p/tingby-side-table-on-casters-red-80457439/,https://www.ikea.com/us/en/images/products/tingby-side-table-on-casters-gray__0479620_pe618495_s5.jpg,39.99,4.7,36.0,20.25,3.25,24.5,Tables & desks,Accent tables
752,"LAGKAPTEN / ALEX Desk - white 55 1/8x23 5/8 """,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s49431927/,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-black-brown__1022390_pe832701_s5.jpg,116.99,4.5,2.0,24.0,1.5,55.5,Tables & desks,Desks & computer desks
753,"INGATORP / INGATORP Table and 4 chairs - white 61 """,https://www.ikea.com/us/en/p/ingatorp-ingatorp-table-and-4-chairs-white-s69240776/,https://www.ikea.com/us/en/images/products/ingatorp-ingolf-table-and-4-chairs-black-brown-black__0737937_pe741263_s5.jpg,805.0,4.8,6.0,36.75,5.0,62.75,Tables & desks,Dining sets
